"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"x344",12849,1709568537.10696,1709568537.10723,1709568537.22248,1709568537.22454,1709568537.22466,1709568537.23078,1709568537.23139,1709568537.23168,1709568537.254,1709568537.47131
"x345",21299,1709568537.74717,1709568537.7473,1709568538.00447,1709568538.02518,1709568538.02531,1709568538.23726,1709568538.23861,1709568538.23882,1709568538.32454,1709568538.59978
"x346",15399,1709568537.62659,1709568537.62692,1709568537.81757,1709568537.82049,1709568537.82063,1709568537.82687,1709568537.82752,1709568537.82787,1709568537.87657,1709568538.10703
"x347",13199,1709568537.64202,1709568537.6423,1709568537.7829,1709568537.78501,1709568537.78514,1709568537.79118,1709568537.79186,1709568537.79217,1709568537.81285,1709568538.01221
"x348",12099,1709568537.70336,1709568537.70355,1709568537.81047,1709568537.81251,1709568537.81265,1709568537.81579,1709568537.81639,1709568537.81667,1709568537.86189,1709568538.08755
"x349",12799,1709568538.24679,1709568538.24704,1709568538.34066,1709568538.34272,1709568538.34287,1709568538.34944,1709568538.35025,1709568538.35058,1709568538.36997,1709568538.58022
"x350",10999,1709568538.61672,1709568538.61687,1709568538.68591,1709568538.68751,1709568538.68765,1709568538.69062,1709568538.69111,1709568538.69146,1709568538.70699,1709568538.91874
"x351",15399,1709568538.77005,1709568538.77033,1709568538.91661,1709568538.91889,1709568538.91904,1709568538.92241,1709568538.92307,1709568538.92338,1709568538.96299,1709568539.16197
"x352",13199,1709568538.99153,1709568538.99181,1709568539.15245,1709568539.15538,1709568539.15552,1709568539.16042,1709568539.16115,1709568539.16152,1709568539.21514,1709568539.42863
"x353",13199,1709568539.1062,1709568539.10648,1709568539.28325,1709568539.28592,1709568539.28606,1709568539.29207,1709568539.29282,1709568539.29317,1709568539.34214,1709568539.57433
"x354",12099,1709568539.42649,1709568539.42674,1709568539.4739,1709568539.47497,1709568539.47509,1709568539.47772,1709568539.47831,1709568539.47857,1709568539.49317,1709568539.68894
"x355",10999,1709568539.34286,1709568539.34305,1709568539.43741,1709568539.4395,1709568539.43963,1709568539.46283,1709568539.46359,1709568539.464,1709568539.48712,1709568539.69303
"x356",12899,1709568539.75749,1709568539.75778,1709568539.85961,1709568539.88173,1709568539.88187,1709568539.88779,1709568539.88841,1709568539.8887,1709568539.91204,1709568540.1188
"x357",13909,1709568540.85421,1709568540.85434,1709568542.66622,1709568542.6867,1709568542.68681,1709568542.75126,1709568542.75234,1709568542.75267,1709568542.88836,1709568543.11075
"x358",17216,1709568635.61942,1709568635.61952,1709568636.74545,1709568636.77134,1709568636.77147,1709568636.84621,1709568636.84697,1709568636.84722,1709568636.94852,1709568637.27916
"x359",10999,1709568635.70034,1709568635.70056,1709568635.82668,1709568635.829,1709568635.82914,1709568635.8328,1709568635.83326,1709568635.83355,1709568635.85758,1709568636.09219
"x360",10999,1709568540.48462,1709568540.48486,1709568540.57261,1709568540.57473,1709568540.57486,1709568540.57799,1709568540.5786,1709568540.57892,1709568540.61469,1709568540.81452
"x361",10999,1709568541.36726,1709568541.3675,1709568541.47324,1709568541.47449,1709568541.47459,1709568541.47746,1709568541.47806,1709568541.47841,1709568541.50028,1709568541.70639
"x362",10999,1709568541.51139,1709568541.51155,1709568541.63882,1709568541.64149,1709568541.6416,1709568541.6443,1709568541.64495,1709568541.64532,1709568541.67285,1709568541.88055
"x363",10999,1709568541.73918,1709568541.73941,1709568541.80284,1709568541.80431,1709568541.80444,1709568541.8074,1709568541.8081,1709568541.80843,1709568541.84056,1709568542.06218
"x364",13199,1709568541.95557,1709568541.95565,1709568542.02209,1709568542.03002,1709568542.03019,1709568542.10659,1709568542.10722,1709568542.10744,1709568542.14987,1709568542.42447
"x365",15099,1709568543.16326,1709568543.16357,1709568543.38507,1709568543.3887,1709568543.38885,1709568543.39433,1709568543.39499,1709568543.3953,1709568543.42848,1709568543.64273
"x366",10999,1709568542.75331,1709568542.75355,1709568542.86993,1709568542.87168,1709568542.87179,1709568542.87734,1709568542.87817,1709568542.8785,1709568542.89938,1709568543.1178
"x367",10999,1709568542.74713,1709568542.74729,1709568542.82884,1709568542.83056,1709568542.83068,1709568542.83363,1709568542.83403,1709568542.83437,1709568542.87137,1709568543.10058
"x368",10999,1709568542.81889,1709568542.81906,1709568542.88743,1709568542.88888,1709568542.88902,1709568542.89088,1709568542.89142,1709568542.89163,1709568542.9083,1709568543.12642
"x369",10999,1709568543.34383,1709568543.34398,1709568543.43461,1709568543.43667,1709568543.43685,1709568543.43979,1709568543.44041,1709568543.44084,1709568543.4604,1709568543.67431
"x370",11949,1709568543.81281,1709568543.81307,1709568543.91712,1709568543.91912,1709568543.91925,1709568543.92371,1709568543.92429,1709568543.92463,1709568543.95867,1709568544.19196
"x371",13199,1709568543.69198,1709568543.69223,1709568543.83072,1709568543.83297,1709568543.8331,1709568543.83718,1709568543.83782,1709568543.83811,1709568543.88292,1709568544.11027
"x372",14299,1709568544.2612,1709568544.26151,1709568544.37168,1709568544.37295,1709568544.37305,1709568544.37523,1709568544.37566,1709568544.37582,1709568544.39854,1709568544.60198
"x373",14299,1709568544.66768,1709568544.66786,1709568544.75229,1709568544.7538,1709568544.75394,1709568544.75662,1709568544.75715,1709568544.75745,1709568544.78476,1709568544.99496
"x374",10999,1709568545.16222,1709568545.16237,1709568545.2007,1709568545.2018,1709568545.20194,1709568545.20324,1709568545.21431,1709568545.21486,1709568545.2271,1709568545.43353
"x375",20099,1709568546.31978,1709568546.31986,1709568546.35685,1709568546.36212,1709568546.36227,1709568546.53969,1709568546.54071,1709568546.54105,1709568546.57873,1709568546.80852
"x376",12099,1709568546.32105,1709568546.3213,1709568546.41889,1709568546.421,1709568546.42115,1709568546.42625,1709568546.42711,1709568546.42743,1709568546.44972,1709568546.67463
"x377",14299,1709568546.40026,1709568546.40031,1709568546.43932,1709568546.44396,1709568546.4441,1709568546.53131,1709568546.53201,1709568546.53229,1709568546.58868,1709568546.79177
"x378",17249,1709568546.98095,1709568546.98116,1709568547.23172,1709568547.23545,1709568547.23561,1709568547.2516,1709568547.25233,1709568547.25269,1709568547.3005,1709568547.54042
"x379",12099,1709568546.62184,1709568546.62203,1709568546.7408,1709568546.74318,1709568546.74335,1709568546.74729,1709568546.74798,1709568546.74829,1709568546.79077,1709568546.98451
"x380",10999,1709568546.61046,1709568546.61069,1709568546.68942,1709568546.69088,1709568546.69099,1709568546.69304,1709568546.69357,1709568546.69375,1709568546.71923,1709568546.94092
"x381",43299,1709568547.05138,1709568547.05152,1709568548.28276,1709568548.37364,1709568548.37378,1709568548.89034,1709568548.89156,1709568548.89194,1709568549.05536,1709568549.30898
"x382",11599,1709568546.99887,1709568546.99913,1709568547.10311,1709568547.1048,1709568547.10495,1709568547.11038,1709568547.11121,1709568547.11157,1709568547.46693,1709568547.67008
"x383",13199,1709568547.33649,1709568547.33678,1709568547.47575,1709568547.47852,1709568547.47866,1709568547.48393,1709568547.48439,1709568547.48463,1709568547.52852,1709568547.73263
"x384",12249,1709568547.64871,1709568547.64892,1709568547.77344,1709568547.77595,1709568547.77611,1709568547.77973,1709568547.78049,1709568547.78082,1709568547.80688,1709568548.02044
"x385",10999,1709568548.58824,1709568548.58848,1709568548.70604,1709568548.70772,1709568548.70785,1709568548.70873,1709568548.70905,1709568548.70915,1709568548.73053,1709568548.93867
"x386",12099,1709568549.02989,1709568549.03012,1709568549.89998,1709568549.9095,1709568549.90964,1709568549.95455,1709568549.95594,1709568549.95639,1709568550.04278,1709568550.40644
"x387",15399,1709568550.04582,1709568550.04614,1709568550.10735,1709568550.10862,1709568550.10876,1709568550.11182,1709568550.11244,1709568550.11267,1709568550.12867,1709568550.36349
"x388",11449,1709568550.67518,1709568550.67543,1709568550.75638,1709568550.75813,1709568550.75825,1709568550.76129,1709568550.76209,1709568550.76239,1709568550.78234,1709568550.99093
"x389",14299,1709568550.88283,1709568550.88307,1709568551.04989,1709568551.05218,1709568551.05229,1709568551.0579,1709568551.05851,1709568551.05874,1709568551.09721,1709568551.30049
"x390",10999,1709568551.45236,1709568551.4526,1709568551.55714,1709568551.55883,1709568551.55894,1709568551.56143,1709568551.56206,1709568551.56239,1709568551.58481,1709568551.81956
"x391",12099,1709568551.52832,1709568551.52856,1709568551.66064,1709568551.66333,1709568551.66348,1709568551.66726,1709568551.6678,1709568551.66804,1709568551.6938,1709568551.90999
"x392",11549,1709568551.55487,1709568551.55513,1709568551.67025,1709568551.67213,1709568551.67227,1709568551.67482,1709568551.67536,1709568551.67559,1709568551.69893,1709568551.92937
"x393",10999,1709568551.53369,1709568551.5339,1709568551.60234,1709568551.60429,1709568551.61717,1709568551.62138,1709568551.62206,1709568551.62229,1709568551.64255,1709568551.84555
"x394",10999,1709568553.22881,1709568553.22899,1709568553.57346,1709568553.57966,1709568553.57977,1709568553.62134,1709568553.62195,1709568553.62229,1709568553.6638,1709568553.89548
"x395",13199,1709568553.38206,1709568553.38234,1709568553.44206,1709568553.44314,1709568553.44325,1709568553.44465,1709568553.44515,1709568553.44538,1709568553.46034,1709568553.65269
"x396",10999,1709568553.53923,1709568553.53938,1709568553.60474,1709568553.6064,1709568553.60655,1709568553.6086,1709568553.60927,1709568553.60951,1709568553.63576,1709568553.84949
"x397",12099,1709568553.77061,1709568553.77078,1709568553.85682,1709568553.85868,1709568553.85882,1709568553.86278,1709568553.86332,1709568553.86367,1709568553.88262,1709568554.09415
"x398",14099,1709568554.44294,1709568554.44321,1709568554.56426,1709568554.56668,1709568554.56681,1709568554.57156,1709568554.57217,1709568554.57252,1709568554.59541,1709568554.81343
"x399",11249,1709568554.3701,1709568554.37034,1709568554.51818,1709568554.52059,1709568554.52073,1709568554.52458,1709568554.52503,1709568554.52537,1709568554.55086,1709568554.75777
"x400",10999,1709568554.33378,1709568554.33401,1709568554.41668,1709568554.42755,1709568554.42769,1709568554.43286,1709568554.43368,1709568554.43393,1709568554.45628,1709568554.67213
"x401",10999,1709568554.42555,1709568554.42581,1709568554.55951,1709568554.56177,1709568554.56191,1709568554.56462,1709568554.56526,1709568554.56562,1709568554.59552,1709568554.82941
"x402",19799,1709568554.67813,1709568554.67853,1709568554.9517,1709568554.95453,1709568554.95464,1709568554.95944,1709568554.96012,1709568554.96041,1709568554.99343,1709568555.17868
"x403",12099,1709568555.00944,1709568555.00971,1709568555.0609,1709568555.06243,1709568555.06257,1709568555.06843,1709568555.06896,1709568555.06918,1709568555.08152,1709568555.24
"x404",13199,1709568555.12716,1709568555.12742,1709568555.19194,1709568555.19355,1709568555.19369,1709568555.1959,1709568555.19633,1709568555.1965,1709568555.21993,1709568555.35646
"x405",10999,1709568555.9047,1709568555.90489,1709568555.97197,1709568555.97352,1709568555.97364,1709568555.99564,1709568555.9964,1709568555.99681,1709568556.01706,1709568556.23602
"x406",17599,1709568556.94201,1709568556.94238,1709568557.15994,1709568557.16253,1709568557.16267,1709568557.16875,1709568557.16935,1709568557.16973,1709568557.21914,1709568557.43472
"x407",12949,1709568556.98518,1709568556.98543,1709568557.15984,1709568557.16302,1709568557.16313,1709568557.1657,1709568557.16627,1709568557.1666,1709568557.19815,1709568557.40916
"x408",16499,1709568557.37494,1709568557.37503,1709568558.47411,1709568558.53469,1709568558.53485,1709568558.6606,1709568558.66165,1709568558.66194,1709568558.80702,1709568559.22286
"x409",18699,1709568557.12862,1709568557.12876,1709568558.46868,1709568558.52715,1709568558.52733,1709568558.66542,1709568558.66613,1709568558.66649,1709568558.88192,1709568559.25622
"x410",14299,1709568557.29268,1709568557.29288,1709568557.46845,1709568557.47114,1709568557.47128,1709568557.47773,1709568557.4785,1709568557.47884,1709568557.52754,1709568557.77484
"x411",14599,1709568558.71572,1709568558.71604,1709568558.86567,1709568558.86761,1709568558.86774,1709568558.87224,1709568558.87286,1709568558.87318,1709568558.90157,1709568559.13497
"x412",10099,1709568557.65667,1709568557.65686,1709568557.71937,1709568557.72097,1709568557.7211,1709568557.72477,1709568557.72543,1709568557.72588,1709568557.75574,1709568557.97066
"x413",10999,1709568559.14062,1709568559.14082,1709568559.24018,1709568559.24217,1709568559.2423,1709568559.2458,1709568559.24651,1709568559.24683,1709568559.27814,1709568559.50271
"x414",12099,1709568559.97146,1709568559.97173,1709568560.05696,1709568560.05885,1709568560.05897,1709568560.06334,1709568560.06396,1709568560.06426,1709568560.08176,1709568560.31405
"x415",15399,1709568560.38519,1709568560.38549,1709568560.55658,1709568560.55918,1709568560.55929,1709568560.56458,1709568560.56541,1709568560.56574,1709568560.61007,1709568560.81607
"x416",15399,1709568560.6122,1709568560.61252,1709568560.83169,1709568560.83395,1709568560.83406,1709568560.83827,1709568560.83889,1709568560.83919,1709568560.88954,1709568561.11025
"x417",17599,1709568561.06386,1709568561.06425,1709568561.31813,1709568561.32149,1709568561.32163,1709568561.33112,1709568561.33184,1709568561.33217,1709568561.38015,1709568561.58154
"x418",13849,1709568561.4605,1709568561.46078,1709568561.58312,1709568561.5854,1709568561.58553,1709568561.58813,1709568561.58861,1709568561.58885,1709568561.62336,1709568561.85994
"x419",17599,1709568561.36287,1709568561.36321,1709568561.57802,1709568561.58081,1709568561.58094,1709568561.59842,1709568561.59916,1709568561.59948,1709568561.6313,1709568561.85127
"x420",10999,1709568561.64389,1709568561.64406,1709568561.69772,1709568561.69919,1709568561.69931,1709568561.70154,1709568561.70206,1709568561.70231,1709568561.73505,1709568561.96897
"x421",10999,1709568561.64371,1709568561.64386,1709568561.7514,1709568561.75379,1709568561.7539,1709568561.76058,1709568561.76131,1709568561.76161,1709568561.78606,1709568562.00459
"x422",12999,1709568561.72599,1709568561.72616,1709568561.85003,1709568561.85228,1709568561.85241,1709568561.85614,1709568561.8568,1709568561.85708,1709568561.89004,1709568562.11246
"x423",13199,1709568561.8159,1709568561.81616,1709568561.98801,1709568561.99104,1709568561.99119,1709568561.99622,1709568561.99686,1709568561.99716,1709568562.02808,1709568562.24529
"x424",13199,1709568562.18023,1709568562.18051,1709568562.25905,1709568562.26087,1709568562.261,1709568562.26419,1709568562.26468,1709568562.26492,1709568562.28429,1709568562.51318
"x425",18699,1709568562.41047,1709568562.41086,1709568562.87186,1709568562.87523,1709568562.87535,1709568562.88877,1709568562.88996,1709568562.89033,1709568562.95242,1709568563.18239
"x426",13199,1709568562.50965,1709568562.50991,1709568562.66565,1709568562.66755,1709568562.66769,1709568562.67128,1709568562.68029,1709568562.68064,1709568562.71157,1709568562.90731
"x427",15499,1709568562.96293,1709568562.96319,1709568563.17094,1709568563.17457,1709568563.17472,1709568563.17843,1709568563.179,1709568563.17934,1709568563.21628,1709568563.42998
"x428",10249,1709568563.55534,1709568563.55553,1709568563.60027,1709568563.60134,1709568563.60148,1709568563.60347,1709568563.60407,1709568563.6043,1709568563.61878,1709568563.8094
"x429",10049,1709568562.71509,1709568562.71533,1709568562.82907,1709568562.83103,1709568562.83114,1709568562.8338,1709568562.83434,1709568562.83468,1709568562.86739,1709568563.09087
"x430",13199,1709568562.82749,1709568562.82775,1709568562.92899,1709568562.93125,1709568562.93139,1709568562.93911,1709568562.93985,1709568562.94017,1709568562.97658,1709568563.17799
"x431",16499,1709568563.18096,1709568563.18121,1709568563.37786,1709568563.38063,1709568563.38078,1709568563.39127,1709568563.39214,1709568563.39247,1709568563.41885,1709568563.64634
"x432",12099,1709568563.39327,1709568563.39336,1709568564.32792,1709568564.36285,1709568564.363,1709568564.45182,1709568564.45258,1709568564.45292,1709568564.58257,1709568564.92022
"x433",11449,1709568565.00657,1709568565.00683,1709568565.12839,1709568565.13082,1709568565.13097,1709568565.13538,1709568565.13628,1709568565.13663,1709568565.18335,1709568565.38424
"x434",10999,1709568564.7103,1709568564.71054,1709568564.78676,1709568564.78793,1709568564.78807,1709568564.79091,1709568564.79144,1709568564.79168,1709568564.81004,1709568565.02398
"x435",14299,1709568565.16669,1709568565.167,1709568565.34545,1709568565.34769,1709568565.34779,1709568565.35373,1709568565.35451,1709568565.35488,1709568565.40392,1709568565.63193
"x436",15399,1709568565.91661,1709568565.91687,1709568566.09648,1709568566.09923,1709568566.09938,1709568566.10493,1709568566.10576,1709568566.10609,1709568566.13906,1709568566.36972
"x437",13199,1709568566.69322,1709568566.69349,1709568566.96763,1709568566.97087,1709568566.97103,1709568566.97422,1709568566.97486,1709568566.97525,1709568567.04561,1709568567.24458
"x438",12099,1709568566.7954,1709568566.79558,1709568566.92164,1709568566.92363,1709568566.92373,1709568566.93004,1709568566.93078,1709568566.93102,1709568566.95582,1709568567.1642
"x439",13399,1709568568.15931,1709568568.15965,1709568568.25624,1709568568.25791,1709568568.25805,1709568568.26429,1709568568.26502,1709568568.26538,1709568568.30108,1709568568.51717
"x440",13549,1709568568.82595,1709568568.82623,1709568569.00151,1709568569.00428,1709568569.00442,1709568569.01191,1709568569.01276,1709568569.01308,1709568569.06115,1709568569.29301
"x441",12099,1709568568.01414,1709568568.01439,1709568568.0819,1709568568.08345,1709568568.08359,1709568568.08633,1709568568.08698,1709568568.09288,1709568568.11115,1709568568.33223
"x442",11849,1709568568.06418,1709568568.06443,1709568568.14967,1709568568.15174,1709568568.15188,1709568568.15589,1709568568.15659,1709568568.15694,1709568568.17724,1709568568.42883
"x443",14299,1709568567.87296,1709568567.8732,1709568568.01202,1709568568.01445,1709568568.0146,1709568568.0268,1709568568.0277,1709568568.02801,1709568568.04927,1709568568.26965
"x444",12099,1709568567.86854,1709568567.86878,1709568568.0181,1709568568.0205,1709568568.02064,1709568568.0243,1709568568.02499,1709568568.02535,1709568568.04851,1709568568.32221
"x445",10999,1709568567.87105,1709568567.87128,1709568567.96585,1709568567.96785,1709568567.968,1709568567.9717,1709568567.97233,1709568567.97268,1709568568.01005,1709568568.21934
"x446",10299,1709568569.05955,1709568569.05972,1709568569.14389,1709568569.14558,1709568569.14572,1709568569.15089,1709568569.15169,1709568569.15203,1709568569.17254,1709568569.38079
"x447",13199,1709568568.99045,1709568568.99075,1709568569.12862,1709568569.13114,1709568569.1313,1709568569.13899,1709568569.13977,1709568569.14015,1709568569.17041,1709568569.41266
"x448",12099,1709568569.18298,1709568569.18316,1709568569.40279,1709568569.41905,1709568569.41919,1709568569.42211,1709568569.42257,1709568569.4228,1709568569.45977,1709568569.65778
"x449",10999,1709568569.19769,1709568569.19792,1709568569.29013,1709568569.2917,1709568569.29185,1709568569.2943,1709568569.29473,1709568569.29502,1709568569.33107,1709568569.56658
"x450",15399,1709568569.78191,1709568569.78221,1709568569.95336,1709568569.95609,1709568569.9562,1709568569.96111,1709568569.96184,1709568569.96208,1709568569.98824,1709568570.22496
"x451",18699,1709568569.87818,1709568569.87858,1709568570.1094,1709568570.11247,1709568570.11261,1709568570.12147,1709568570.12225,1709568570.12256,1709568570.15358,1709568570.37726
"x452",10299,1709568570.54258,1709568570.54281,1709568570.61625,1709568570.61781,1709568570.61795,1709568570.61987,1709568570.62041,1709568570.62073,1709568570.64974,1709568570.84541
"x453",10999,1709568570.44125,1709568570.4415,1709568570.52032,1709568570.52177,1709568570.52189,1709568570.52443,1709568570.52489,1709568570.52516,1709568570.56257,1709568570.77185
"x454",10999,1709568570.84447,1709568570.84472,1709568570.94484,1709568570.94692,1709568570.94706,1709568570.95198,1709568570.95274,1709568570.95306,1709568570.98739,1709568571.20225
"x455",10999,1709568570.88877,1709568570.88901,1709568570.94597,1709568570.94704,1709568570.94715,1709568570.94848,1709568570.94897,1709568570.94926,1709568570.96274,1709568571.18374
"x456",10549,1709568571.23984,1709568571.24001,1709568571.2841,1709568571.29914,1709568571.29926,1709568571.30326,1709568571.30395,1709568571.30427,1709568571.31897,1709568571.53718
"x457",18299,1709568571.91226,1709568571.91259,1709568572.07991,1709568572.08241,1709568572.08252,1709568572.10234,1709568572.10297,1709568572.10323,1709568572.12903,1709568572.34213
"x458",15747,1709568571.56157,1709568571.56165,1709568572.72728,1709568572.75588,1709568572.75603,1709568572.84415,1709568572.84468,1709568572.84504,1709568573.01286,1709568573.45361
